judul_lagu,artis,genre,valence,energy,danceability,tempo,acousticness,popularity,genre_utama,mood,tokens,cluster
Don't Cry Baby,Living Room,jazz,0.608,0.408,0.587,75.024,0.902,1,Jazz & Blues,Groovy,don cry baby,2
White Christmas,Ella Fitzgerald,blues,0.338,0.212,0.415,92.988,0.785,0,Jazz & Blues,Sad,white christmas,2
New Blood,Zayde Wølf,blues,0.361,0.892,0.486,72.984,0.0774,52,Jazz & Blues,Energetic,new blood,2
Sobre a Graça,Paulo Cesar Baruk,gospel,0.336,0.794,0.573,75.011,0.0967,38,Jazz & Blues,Energetic,sobre graca,2
Bądź moim natchnieniem,Andrzej Zaucha,blues,0.687,0.553,0.54,127.193,0.539,34,Jazz & Blues,Groovy,badz moim natchnieniem,2
Never in My Wildest Dreams,Dan Auerbach,blues,0.623,0.466,0.559,117.21,0.315,64,Jazz & Blues,Groovy,never wildest dreams,2
Eu Só Quero Adorar,Gerson Rufino,gospel,0.396,0.566,0.561,140.108,0.194,39,Jazz & Blues,Melancholic,eu quero adorar,2
Heal the World,Michael Jackson,soul,0.101,0.485,0.545,80.948,0.537,68,Jazz & Blues,Melancholic,heal world,2
Cajun Moon,J.J. Cale,blues,0.892,0.631,0.825,102.619,0.819,0,Jazz & Blues,Happy,cajun moon,2
Christmas Will Really Be Christmas,Lou Rawls,blues,0.578,0.293,0.458,86.482,0.397,0,Jazz & Blues,Romantic,christmas really christmas,2
You & I (Nobody in the World),John Legend,soul,0.224,0.342,0.456,84.087,0.129,63,Jazz & Blues,Sad,nobody world,2
Lorong Hitam,Slank,blues,0.129,0.273,0.327,120.62,0.335,38,Jazz & Blues,Sad,lorong hitam,2
Cool Yule,Louis Armstrong;The Commanders,jazz,0.692,0.505,0.568,149.439,0.676,0,Jazz & Blues,Groovy,cool yule,2
Árvore Cortada - Acústico,Valesca Mayssa;Kellen Byanca,gospel,0.351,0.585,0.394,139.945,0.461,42,Jazz & Blues,Melancholic,arvore cortada acustico,2
Struggle No More,Anthony Hamilton;Jaheim;Musiq Soulchild,soul,0.454,0.651,0.679,172.019,0.221,1,Jazz & Blues,Groovy,struggle more,2
Black Coffee - Single Version,Peggy Lee,jazz,0.171,0.194,0.523,129.533,0.84,0,Jazz & Blues,Sad,black coffee single version,2
O Cheiro das Águas - Ao Vivo,Diante do Trono;Ana Paula Valadão,gospel,0.109,0.244,0.355,125.401,0.656,42,Jazz & Blues,Sad,cheiro das aguas ao vivo,2
Meu Universo - Acústico,PG;Nívea Soares,gospel,0.497,0.403,0.559,131.966,0.586,38,Jazz & Blues,Groovy,meu universo acustico,2
Generasi Biru,Slank,blues,0.499,0.766,0.431,144.485,0.209,36,Jazz & Blues,Energetic,generasi biru,2
O Abraço do Noivo,Cassiane,gospel,0.32,0.517,0.314,86.491,0.598,37,Jazz & Blues,Melancholic,abraco noivo,2
Vasos Quebrados (Sublime Graça),Hillsong Em Português,gospel,0.0932,0.358,0.437,140.933,0.232,39,Jazz & Blues,Sad,vasos quebrados sublime graca,2
Hit the Road Jack,Ray Charles,blues,0.962,0.571,0.598,173.141,0.704,70,Jazz & Blues,Groovy,hit road jack,2
We Gotta Get Out Of This Place,Eric Burdon,blues,0.781,0.633,0.585,135.111,0.521,0,Jazz & Blues,Happy,gotta place,2
You Really Got a Hold on Me,Percy Sledge,soul,0.531,0.245,0.676,86.338,0.677,0,Jazz & Blues,Romantic,really hold,2
Heaven Must Have Sent You - Mono Single,The Elgins,soul,0.681,0.523,0.656,139.0,0.305,44,Jazz & Blues,Groovy,heaven must sent mono single,2
Down in da Club,Jackie Neal,blues,0.877,0.532,0.855,102.941,0.0154,38,Jazz & Blues,Groovy,down da club,2
When A Man Loves A Woman,Percy Sledge,soul,0.326,0.272,0.404,97.941,0.264,0,Jazz & Blues,Sad,man loves woman,2
Tonk Kosong,Slank,blues,0.867,0.439,0.722,110.21,0.292,42,Jazz & Blues,Groovy,tonk kosong,2
O Trem Azul,Elis Regina,jazz,0.401,0.716,0.373,139.556,0.673,37,Jazz & Blues,Energetic,trem azul,2
Stormy Weather,Etta James,blues,0.448,0.35,0.258,177.546,0.716,0,Jazz & Blues,Romantic,stormy weather,2
Perfeito Amor,Kemuel,gospel,0.24,0.318,0.462,83.041,0.584,37,Jazz & Blues,Sad,perfeito amor,2
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.;Bill Withers",jazz,0.585,0.497,0.749,95.818,0.41,77,Jazz & Blues,Groovy,two feat bill withers,2
O Rosto de Cristo,Sarah Farias,gospel,0.199,0.582,0.485,80.0,0.156,40,Jazz & Blues,Melancholic,rosto de cristo,2
Bring It On Home To Me,B.B. King;Paul Carrack,blues,0.497,0.489,0.425,96.777,0.0162,58,Jazz & Blues,Groovy,bring home,2
O Bondoso Amigo,J Neto,gospel,0.284,0.392,0.239,81.506,0.792,39,Jazz & Blues,Sad,bondoso amigo,2
Face Down In The Moment,Nathaniel Rateliff & The Night Sweats,blues,0.359,0.591,0.52,151.089,0.353,0,Jazz & Blues,Melancholic,face down moment,2
Kirim Aku Bunga,Slank,blues,0.269,0.625,0.431,82.935,0.00968,39,Jazz & Blues,Groovy,kirim bunga,2
Everything I Do Gonh Be Funky - Live,Allen Toussaint,blues,0.907,0.38,0.589,138.573,0.94,0,Jazz & Blues,Calm,everything gonh funky live,2
You're Beautiful,Kenny G,jazz,0.298,0.539,0.53,81.686,0.282,27,Jazz & Blues,Melancholic,re beautiful,2
Europa (Earth's Cry Heaven's Smile),Santana,blues,0.679,0.669,0.296,74.692,0.03,56,Jazz & Blues,Happy,europa earth cry heaven smile,2
Lindo Testemunho,Kellen Byanca,gospel,0.441,0.598,0.683,131.87,0.76,41,Jazz & Blues,Groovy,lindo testemunho,2
Vasos Quebrados (Broken Vessels),Marine Friesen,gospel,0.0901,0.485,0.431,141.017,0.207,42,Jazz & Blues,Melancholic,vasos quebrados broken vessels,2
How Can You Mend a Broken Heart,Al Green,blues,0.367,0.421,0.448,146.427,0.507,24,Jazz & Blues,Melancholic,mend broken heart,2
The Boys Are Back In Town,Thin Lizzy,blues,0.694,0.87,0.457,81.095,0.292,0,Jazz & Blues,Happy,boys back town,2
Além do Rio Azul,Lydia Moisés,gospel,0.238,0.538,0.466,75.125,0.567,42,Jazz & Blues,Melancholic,alem rio azul,2
Dependo de Ti,Paulo Cesar Baruk,gospel,0.157,0.516,0.387,130.008,0.626,38,Jazz & Blues,Melancholic,dependo de ti,2
Have Yourself A Merry Little Christmas,Judy Garland,jazz,0.102,0.163,0.23,102.777,0.97,0,Jazz & Blues,Sad,yourself merry little christmas,2
Winter Wonderland,Tony Bennett,jazz,0.448,0.495,0.653,126.58,0.529,39,Jazz & Blues,Groovy,winter wonderland,2
I'm Missin' You Babe,Lebrado,blues,0.938,0.592,0.73,97.998,0.000776,37,Jazz & Blues,Groovy,missin babe,2
Drunk (And I Don't Wanna Go Home),Elle King;Miranda Lambert,blues,0.626,0.884,0.612,119.991,0.00516,75,Jazz & Blues,Happy,drunk don wanna home,2
Ain't That Love,Ray Charles,blues,0.774,0.467,0.751,118.11,0.303,0,Jazz & Blues,Groovy,ain love,2
Piru olkapäällä,Atomirotta,blues,0.791,0.915,0.47,167.011,0.131,33,Jazz & Blues,Happy,piru olkapaalla,2
Shoppin' for Clothes,The Coasters,blues,0.578,0.229,0.613,85.854,0.683,0,Jazz & Blues,Romantic,shoppin clothes,2
A Melhor Coisa Que Já Fiz,Ozéias de Paula,gospel,0.446,0.399,0.304,91.711,0.79,38,Jazz & Blues,Romantic,melhor coisa que ja fiz,2
Seras Sempre Deus - Ao Vivo,Trazendo a Arca,gospel,0.149,0.679,0.536,144.015,0.01,37,Jazz & Blues,Groovy,seras sempre deus ao vivo,2
Sozinho Jamais,Gerson Rufino,gospel,0.331,0.652,0.651,73.5,0.492,42,Jazz & Blues,Groovy,sozinho jamais,2
Kosong Sama Kosong,Slank,blues,0.492,0.546,0.326,144.466,0.346,36,Jazz & Blues,Groovy,kosong sama kosong,2
What A Diff'rence A Day Made,Dinah Washington,blues,0.166,0.117,0.387,93.575,0.925,64,Jazz & Blues,Sad,diff rence day made,2
Drinking Again,Avail Hollywood,blues,0.714,0.555,0.766,104.963,0.00542,33,Jazz & Blues,Groovy,drinking again,2
(You Don't Know) How Glad I Am,Nancy Wilson,jazz,0.611,0.44,0.511,103.965,0.742,0,Jazz & Blues,Groovy,don know glad am,2
Vou Te Adorar,Gabriela Rocha,gospel,0.255,0.863,0.441,135.143,0.201,38,Jazz & Blues,Dark,vou te adorar,2
A Teenager In Love,Dion & The Belmonts,blues,0.619,0.377,0.555,78.986,0.671,61,Jazz & Blues,Calm,teenager love,2
Marca da Promessa - Ao Vivo,Trazendo a Arca,gospel,0.266,0.786,0.327,78.036,0.00566,40,Jazz & Blues,Dark,marca da promessa ao vivo,2
The Christmas Song (Merry Christmas To You) - Remastered,Nat King Cole,jazz,0.234,0.253,0.294,85.256,0.884,0,Jazz & Blues,Sad,christmas song merry christmas remastered,2
Amor Que Nos Faz Um,Palavrantiga,gospel,0.4,0.507,0.343,78.824,0.225,40,Jazz & Blues,Groovy,amor que nos faz um,2
Light My Love,Greta Van Fleet,blues,0.484,0.778,0.374,133.85,0.1,67,Jazz & Blues,Energetic,light love,2
Muda Minha Vida,Alex e Alex,gospel,0.218,0.481,0.535,129.977,0.432,39,Jazz & Blues,Melancholic,muda minha vida,2
Minha Porção,Ministerio Ipiranga,gospel,0.238,0.533,0.516,126.05,0.606,42,Jazz & Blues,Melancholic,minha porcao,2
Lil Boat,88GLAM,soul,0.594,0.672,0.764,150.021,0.0166,63,Jazz & Blues,Groovy,lil boat,2
Why I Sing The Blues,B.B. King,blues,0.719,0.495,0.792,118.066,0.239,54,Jazz & Blues,Groovy,why sing blues,2
Blurred Lines,Robin Thicke;T.I.;Pharrell Williams,soul,0.843,0.599,0.853,119.993,0.00334,76,Jazz & Blues,Groovy,blurred lines,2
O Sonho Não Acabou,Gisele Nascimento,gospel,0.14,0.516,0.478,130.059,0.565,41,Jazz & Blues,Melancholic,sonho nao acabou,2
The Boots on Song (feat. Omar Cunningham),Big Yayo;Omar Cunningham,blues,0.704,0.569,0.905,91.994,0.0349,34,Jazz & Blues,Groovy,boots song feat omar cunningham,2
O Espírito Do Senhor - Ao Vivo,Eli Soares,gospel,0.206,0.403,0.529,119.639,0.237,39,Jazz & Blues,Melancholic,espirito senhor ao vivo,2
I Fall Apart,Rory Gallagher,blues,0.664,0.614,0.362,79.432,0.107,54,Jazz & Blues,Happy,fall apart,2
We Stepping Out Ta Night,Wendell B,blues,0.541,0.554,0.783,95.001,0.0129,34,Jazz & Blues,Groovy,stepping ta night,2
Coração de Jó,Anderson Freire,gospel,0.378,0.472,0.508,75.982,0.574,39,Jazz & Blues,Melancholic,coracao de jo,2
Sol da Justiça,Aline Barros,gospel,0.286,0.696,0.213,153.836,0.312,40,Jazz & Blues,Groovy,sol da justica,2
The Happiest Christmas Tree - Remastered 2009,Nat King Cole,jazz,0.866,0.644,0.494,206.13,0.704,0,Jazz & Blues,Happy,happiest christmas tree remastered,2
Estou Seguro - Ao Vivo,Gabriela Rocha,gospel,0.205,0.555,0.356,136.977,0.154,42,Jazz & Blues,Melancholic,estou seguro ao vivo,2
Depois da Guerra,Oficina G3,gospel,0.253,0.958,0.521,114.967,0.000192,39,Jazz & Blues,Dark,depois da guerra,2
Sou o Que Sou,Damares,gospel,0.54,0.87,0.543,147.926,0.218,38,Jazz & Blues,Energetic,sou que sou,2
Seperti Para Koruptor (feat. The Big Hip),Slank;The Big Hip,blues,0.926,0.823,0.588,98.671,0.28,40,Jazz & Blues,Happy,seperti koruptor feat big hip,2
Another Way to Die,Jack White;Alicia Keys,blues,0.386,0.765,0.486,141.933,0.0239,57,Jazz & Blues,Energetic,another way die,2
O Céu Não Tira Férias,Nathália Braga,gospel,0.434,0.602,0.625,132.113,0.648,40,Jazz & Blues,Groovy,ceu nao tira ferias,2
Ain't No Rest for the Wicked,Cage The Elephant,blues,0.917,0.849,0.636,156.036,0.0438,74,Jazz & Blues,Happy,ain rest wicked,2
Oração da Família,Raquel Mello,gospel,0.236,0.661,0.542,117.03,0.263,38,Jazz & Blues,Groovy,oracao da familia,2
My Baby Just Cares For Me - 2009 Remaster,Nina Simone,blues,0.534,0.286,0.777,118.103,0.833,29,Jazz & Blues,Romantic,baby cares remaster,2
Dream A Little Dream Of Me,Louis Armstrong,jazz,0.399,0.238,0.462,93.388,0.515,63,Jazz & Blues,Sad,dream little dream,2
Demon in My Head,Joe Buck Yourself,blues,0.627,0.891,0.685,120.668,0.375,32,Jazz & Blues,Happy,demon head,2
September In The Rain,Dinah Washington,blues,0.678,0.213,0.401,110.623,0.342,0,Jazz & Blues,Calm,september rain,2
Gerador Particular - Ao Vivo,Clayton Queiroz;Jessé Aguiar,gospel,0.597,0.397,0.403,138.443,0.832,40,Jazz & Blues,Romantic,gerador particular ao vivo,2
Você É Especial,Daniel & Samuel,gospel,0.409,0.574,0.515,134.762,0.797,40,Jazz & Blues,Groovy,voce especial,2
Grande é o Senhor - Ao Vivo,Nívea Soares,gospel,0.16,0.511,0.348,148.034,0.0304,38,Jazz & Blues,Melancholic,grande senhor ao vivo,2
Outro Na Fornalha,Hillsong Em Português,gospel,0.112,0.663,0.481,135.009,0.000824,43,Jazz & Blues,Groovy,outro na fornalha,2
Chuva de Sangue,Voz da Verdade,gospel,0.212,0.702,0.322,75.096,0.511,40,Jazz & Blues,Dark,chuva de sangue,2
Hell Yeah,Rev Theory,blues,0.398,0.982,0.355,167.889,0.00011,0,Jazz & Blues,Energetic,hell yeah,2
Como una Mosca,Memphis La Blusera,blues,0.915,0.73,0.711,104.24,0.29,34,Jazz & Blues,Happy,como una mosca,2
Saw You in a Dream,The Japanese House,soul,0.683,0.447,0.608,94.054,0.0603,58,Jazz & Blues,Groovy,saw dream,2
I'm A Wanted Man,Royal Deluxe,blues,0.259,0.588,0.493,82.072,0.00943,50,Jazz & Blues,Melancholic,wanted man,2
Safety (feat. DJ Snake),GASHI;DJ Snake,soul,0.728,0.828,0.754,108.992,0.0276,51,Jazz & Blues,Happy,safety feat dj snake,2
Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),Free Nationals;Daniel Caesar;Unknown Mortal Orchestra,soul,0.718,0.741,0.552,69.709,0.284,69,Jazz & Blues,Happy,beauty essex feat daniel caesar unknown mortal orchestra,2
Vim Falar Com Deus,Delino Marçal,gospel,0.518,0.908,0.461,200.071,0.412,42,Jazz & Blues,Energetic,vim falar com deus,2
Eu Vejo Deus,Amanda Ferrari,gospel,0.486,0.755,0.519,147.94,0.54,41,Jazz & Blues,Energetic,eu vejo deus,2
Nunca Me Deixou - Ao Vivo,Juliano Son,gospel,0.161,0.746,0.368,78.003,0.0768,42,Jazz & Blues,Dark,nunca deixou ao vivo,2
Good Loving Will Make You Cry (Remastered),Carl Marshall,blues,0.452,0.71,0.7,80.515,0.304,36,Jazz & Blues,Energetic,good loving make cry remastered,2
Ding-Dong! The Witch Is Dead,Ella Fitzgerald,blues,0.639,0.248,0.626,80.542,0.827,0,Jazz & Blues,Calm,ding dong witch dead,2
Me Aproximou - Ao Vivo,Gabriela Rocha,gospel,0.105,0.697,0.345,147.876,0.0481,42,Jazz & Blues,Groovy,aproximou ao vivo,2
Big Train,Tucka,blues,0.803,0.797,0.695,103.03,0.194,33,Jazz & Blues,Happy,big train,2
Dance e Não Se Canse (feat. Arthur Henrique & Lex Skate Rock),DJ PV;Arthur Henrique;Lex Skate Rock,gospel,0.963,0.792,0.725,127.992,0.0132,40,Jazz & Blues,Happy,dance nao canse feat arthur henrique lex skate rock,2
Meu Coração Te Pertence,Salzband,gospel,0.424,0.386,0.586,139.983,0.0504,40,Jazz & Blues,Romantic,meu coracao te pertence,2
"Novo dia, novo tempo - ao vivo",Renascer Praise,gospel,0.346,0.798,0.489,139.897,0.221,39,Jazz & Blues,Energetic,novo novo tempo ao vivo,2
Flippity Flop Flop,Helen Humes,blues,0.755,0.216,0.729,129.851,0.735,40,Jazz & Blues,Calm,flippity flop flop,2
Grandioso És Tu - Ao Vivo,Fernandinho,gospel,0.131,0.401,0.232,137.75,0.363,38,Jazz & Blues,Melancholic,grandioso es tu ao vivo,2
Quiet Storm,Shierro,jazz,0.108,0.526,0.613,154.082,0.669,65,Jazz & Blues,Melancholic,quiet storm,2
Teu Reino - Ao Vivo,Cristo Vivo;Vinicius Zulato,gospel,0.318,0.699,0.53,139.812,0.279,42,Jazz & Blues,Groovy,teu reino ao vivo,2
Profetiza - Ao vivo,Jefferson & Suellen,gospel,0.218,0.777,0.443,137.784,0.0992,40,Jazz & Blues,Dark,profetiza ao vivo,2
Bell Bottom Blues,Derek & The Dominos,blues,0.646,0.695,0.404,133.136,0.587,59,Jazz & Blues,Happy,bell bottom blues,2
Os Planos de Deus (Ao Vivo),Samuel Messias,gospel,0.267,0.388,0.538,125.913,0.337,39,Jazz & Blues,Sad,os planos de deus ao vivo,2
Tube Snake Boogie,ZZ Top,blues,0.965,0.648,0.569,150.396,0.00382,38,Jazz & Blues,Happy,tube snake boogie,2
Les yeux de ma mère,Arno,blues,0.0789,0.441,0.361,95.457,0.911,32,Jazz & Blues,Melancholic,les yeux de ma mere,2
Gold on the Ceiling,The Black Keys,blues,0.565,0.833,0.505,130.121,0.00772,70,Jazz & Blues,Energetic,gold ceiling,2
Não Temas - Ao Vivo,Nani Azevedo,gospel,0.193,0.357,0.28,76.866,0.658,38,Jazz & Blues,Sad,nao temas ao vivo,2
Another Wave,Raphael Lake,blues,0.763,0.729,0.593,104.973,0.0166,43,Jazz & Blues,Happy,another wave,2
Ganhar o Mundo,Thiago Ramalho,gospel,0.104,0.368,0.653,126.006,0.0764,41,Jazz & Blues,Sad,ganhar mundo,2
Ele Está Comigo - Bônus,Fernandinho,gospel,0.146,0.558,0.239,177.982,0.154,42,Jazz & Blues,Melancholic,ele esta comigo bonus,2
Ele É Contigo,Thalles Roberto,gospel,0.475,0.465,0.809,98.023,0.0598,39,Jazz & Blues,Groovy,ele contigo,2
Delta Lady,Joe Cocker,blues,0.769,0.663,0.461,135.35,0.39,0,Jazz & Blues,Happy,delta lady,2
Quando Ninguém Me Vê,Thalles Roberto,gospel,0.196,0.298,0.477,173.337,0.745,41,Jazz & Blues,Sad,quando ninguem ve,2
Come with Me Now,KONGOS,blues,0.728,0.726,0.654,103.987,0.0311,67,Jazz & Blues,Happy,come now,2
Dream A Little Dream Of Me,Ella Fitzgerald;Louis Armstrong,blues,0.322,0.127,0.631,76.559,0.939,46,Jazz & Blues,Sad,dream little dream,2
novo - Ao Vivo,Leonardo Gonçalves,gospel,0.311,0.606,0.305,147.047,0.461,41,Jazz & Blues,Groovy,novo ao vivo,2
Página Manchada,Gerson Rufino,gospel,0.341,0.508,0.537,147.984,0.196,41,Jazz & Blues,Melancholic,pagina manchada,2
No Teu Jardim - Ao Vivo,Rodolfo Abrantes;Dunamis Music,gospel,0.209,0.655,0.334,79.624,0.105,39,Jazz & Blues,Groovy,teu jardim ao vivo,2
Minha História (Ao Vivo),Gisele Nascimento,gospel,0.614,0.578,0.452,126.105,0.477,38,Jazz & Blues,Groovy,minha historia ao vivo,2
Vendavais - Em Casa Acústico,Rebeca Carvalho,gospel,0.276,0.469,0.305,92.11,0.729,40,Jazz & Blues,Melancholic,vendavais em casa acustico,2
O Melhor Lugar Do Mundo - Ao Vivo,Eli Soares,gospel,0.124,0.175,0.374,111.352,0.957,39,Jazz & Blues,Sad,melhor lugar mundo ao vivo,2
Adiwele (Mixed),Young Stunna;Kabza De Small;DJ Maphorisa,soul,0.485,0.782,0.779,115.702,0.0345,10,Jazz & Blues,Energetic,adiwele mixed,2
"Bewitched, Bothered, And Bewildered - Stereo Version",Ella Fitzgerald,blues,0.263,0.108,0.422,71.872,0.971,0,Jazz & Blues,Sad,bewitched bothered bewildered stereo version,2
House of the Rising Sun,The Animals,blues,0.299,0.484,0.316,117.363,0.000334,75,Jazz & Blues,Melancholic,house rising sun,2
The Boy Is Mine,Brandy;Monica,soul,0.709,0.726,0.659,93.044,0.308,0,Jazz & Blues,Happy,boy mine,2
Deus de Milagres - Ao Vivo,Diante do Trono,gospel,0.137,0.386,0.31,128.91,0.714,40,Jazz & Blues,Sad,deus de milagres ao vivo,2
Viverei Milagres,Vanilda Bordieri;Bruna Paula,gospel,0.315,0.776,0.522,140.029,0.158,39,Jazz & Blues,Energetic,viverei milagres,2
Allt är gjort av plåt,Rolf Wikström,blues,0.6,0.802,0.504,134.86,0.000309,35,Jazz & Blues,Happy,allt ar gjort av plat,2
Em Ti Esperarei - Salmo 27,Trazendo a Arca,gospel,0.271,0.697,0.481,139.975,0.131,38,Jazz & Blues,Groovy,em ti esperarei salmo,2
Ele É Exaltado - Ao Vivo,Adhemar De Campos,gospel,0.268,0.353,0.179,182.76,0.385,42,Jazz & Blues,Sad,ele exaltado ao vivo,2
Outro Na Fornalha,Dunamis Music;Rapha Gonçalves,gospel,0.125,0.672,0.501,135.053,0.000643,40,Jazz & Blues,Groovy,outro na fornalha,2
Vaso de Alabastro,Mara Lima,gospel,0.339,0.576,0.428,153.566,0.769,40,Jazz & Blues,Melancholic,vaso de alabastro,2
Não Há Nada Mais Doce,Gabriela Rocha,gospel,0.0816,0.501,0.549,112.034,0.503,38,Jazz & Blues,Melancholic,nao ha nada mais doce,2
T-Bone Blues,T-Bone Walker,blues,0.564,0.283,0.541,76.832,0.804,0,Jazz & Blues,Romantic,bone blues,2
Nível Raso,Rodolfo Abrantes,gospel,0.452,0.661,0.593,140.026,0.00024,43,Jazz & Blues,Groovy,nivel raso,2
Christmas Night In Harlem - Single Version,Louis Armstrong;Benny Carter,jazz,0.595,0.36,0.543,149.431,0.727,0,Jazz & Blues,Romantic,christmas night harlem single version,2
Na Gravidade da Presença,Rodolfo Abrantes,gospel,0.464,0.38,0.628,119.971,0.834,40,Jazz & Blues,Romantic,na gravidade da presenca,2
Show Me The Way,Peter Frampton,blues,0.64,0.726,0.7,130.11,0.436,0,Jazz & Blues,Happy,show way,2
Congresso Celestial,Deise do Vale,gospel,0.205,0.717,0.503,141.858,0.48,42,Jazz & Blues,Dark,congresso celestial,2
Ao Único / Louvor ao Rei - Ao Vivo,Dunamis Music;Victor Valente,gospel,0.238,0.441,0.25,123.602,0.442,38,Jazz & Blues,Melancholic,ao unico louvor ao rei ao vivo,2
Used to the Darkness,Des Rocs,blues,0.471,0.751,0.674,106.007,0.181,56,Jazz & Blues,Energetic,used darkness,2
So Will I (Eu Também),Marine Friesen,gospel,0.066,0.597,0.461,127.991,0.00496,43,Jazz & Blues,Melancholic,eu tambem,2
It Came Upon The Midnight Clear,Charlie Haden;Hank Jones,jazz,0.264,0.0421,0.494,112.015,0.981,0,Jazz & Blues,Sad,came upon midnight clear,2
The Christmas Song,The Jackson 5,soul,0.434,0.444,0.402,134.004,0.7,0,Jazz & Blues,Groovy,christmas song,2
Here’s Your Perfect (with salem ilese),Jamie Miller;salem ilese,soul,0.434,0.493,0.613,114.863,0.421,67,Jazz & Blues,Groovy,heres perfect salem ilese,2
The Christmas Song (arr. piano),Mel Tormé;Stephan Moccio,jazz,0.0717,0.0156,0.361,123.646,0.987,0,Jazz & Blues,Sad,christmas song arr piano,2
Como Dois Animais,Alceu Valença,mpb,0.269,0.404,0.776,125.954,0.283,43,Latin,Melancholic,como dois animais,8
La Luz de un Fósforo - En Vivo,Ariel Ardit;Orquesta Tipica,tango,0.46,0.436,0.505,113.526,0.866,25,Latin,Groovy,la luz de un fosforo en vivo,8
Rindo à Toa / Xote da Alegria / Inquilina - Ao Vivo,Humberto & Ronaldo,forro,0.82,0.53,0.58,82.544,0.745,42,Latin,Groovy,rindo toa xote da alegria inquilina ao vivo,8
Faço de Tudo / Até Te Encontrar / Trajetória - Ao Vivo,Caju Pra Baixo,samba,0.788,0.8,0.524,167.871,0.605,43,Latin,Happy,faco de tudo ate te encontrar trajetoria ao vivo,8
Outra Recaída,Binho Simões;Mumuzinho,pagode,0.457,0.569,0.563,140.03,0.545,55,Latin,Groovy,outra recaida,8
A Que No Me Dejas,Alejandro Sanz;Alejandro Fernández,latin,0.443,0.665,0.597,94.467,0.424,1,Latin,Groovy,que dejas,8
El Amante,Nicky Jam,latino,0.732,0.691,0.683,179.91,0.243,69,Latin,Happy,el amante,8
Melodía de Arrabal,Carlos Gardel,tango,0.602,0.223,0.68,121.467,0.991,26,Latin,Calm,melodia de arrabal,8
Hablame Mi Vida,Yiyo Sarante,salsa,0.795,0.638,0.728,112.02,0.701,31,Latin,Happy,hablame mi vida,8
Pra Recomeçar - Ao Vivo,Brasas do Forró,forro,0.537,0.727,0.429,129.886,0.355,39,Latin,Energetic,pra recomecar ao vivo,8
Romance no Deserto (Romance in Durango),Fagner,mpb,0.638,0.468,0.353,201.931,0.279,41,Latin,Groovy,romance deserto romance durango,8
Bota pra Torar,Pisadinha do Vaqueiro,forro,0.963,0.919,0.703,163.99,0.723,42,Latin,Happy,bota pra torar,8
Sinal Fechado,Paulinho Da Viola,mpb,0.259,0.184,0.555,122.737,0.987,40,Latin,Sad,sinal fechado,8
Elsa / Quiero Amanecer / Cariñito - En Vivo,Yahaira Plasencia;Mauricio Mesones,salsa,0.707,0.796,0.71,103.944,0.576,31,Latin,Happy,elsa quiero amanecer carinito en vivo,8
Filho De Jorge - Ao Vivo,Juninho Thybau,samba,0.758,0.799,0.411,91.596,0.524,38,Latin,Happy,filho de jorge ao vivo,8
Plazos Traicioneros,Celia Cruz;Willie Colón,salsa,0.352,0.221,0.445,174.152,0.879,37,Latin,Sad,plazos traicioneros,8
Traição / Me Assume ou Me Esquece,Akatu,samba,0.868,0.55,0.656,79.321,0.708,40,Latin,Groovy,traicao assume ou esquece,8
Seu BB Te Ama (Ao Vivo No Casa Filtr),Os Barões Da Pisadinha,forro,0.968,0.852,0.718,160.008,0.662,46,Latin,Happy,seu bb te ama ao vivo casa filtr,8
Mexeu Comigo,Iguinho e Lulinha,forro,0.548,0.91,0.466,133.02,0.348,53,Latin,Energetic,mexeu comigo,8
Vai Que Bebereis - Ao Vivo,Henrique & Juliano,sertanejo,0.79,0.706,0.744,121.965,0.638,55,Latin,Happy,vai que bebereis ao vivo,8
"Princípio, Meio e Fim",Diogo Nogueira,samba,0.399,0.35,0.527,133.879,0.641,38,Latin,Sad,principio meio fim,8
Quanto Mais Eu Bebo,Kevi Jonny;Unha Pintada,forro,0.858,0.766,0.753,135.043,0.388,40,Latin,Happy,quanto mais eu bebo,8
Só por um Momento - Ao Vivo,Akatu;Grupo Revelação;Vitinho,samba,0.705,0.603,0.578,151.864,0.641,53,Latin,Happy,por um momento ao vivo,8
Hay Un Lugar,Kathy Cristina,salsa,0.486,0.658,0.652,129.913,0.684,31,Latin,Groovy,hay un lugar,8
Tarde Demais - Ao Vivo,Sorriso Maroto,pagode,0.586,0.823,0.615,89.755,0.496,43,Latin,Energetic,tarde demais ao vivo,8
Sua Recaída,Pisadinha do Vaqueiro,forro,0.968,0.858,0.601,166.067,0.577,48,Latin,Happy,sua recaida,8
Tres Amigos,Anibal Troilo y su orquesta;Alberto Marino,tango,0.458,0.271,0.578,121.773,0.993,21,Latin,Romantic,tres amigos,8
Sambalpuri Nagin Dance - DJ Remix,Mantu Chhuria;Asima Panda;Humane Sagar;DJ Raja,samba,0.547,0.96,0.518,163.969,0.00117,30,Latin,Energetic,sambalpuri nagin dance dj remix,8
Se Você Fosse Minha,Maglore,mpb,0.725,0.759,0.554,90.862,0.0131,42,Latin,Happy,voce fosse minha,8
Não São Palavras Lindas,Chico Rey & Paraná,sertanejo,0.466,0.537,0.395,185.869,0.452,45,Latin,Groovy,nao sao palavras lindas,8
